# sun41_v12e: targeted search for A247975 unresolved cases
# Phase-6 bound : n <= 2000000000
# This run      : n <= 7000000000
# Generated     : Mon Mar  9 18:38:44 2026
m,p_m,min_n,status
11924,127289,6119832581,RESOLVED
22186,251809,6418823416,RESOLVED
22802,259577,NOT_FOUND,n_leq_7000000000
23995,274453,NOT_FOUND,n_leq_7000000000
37249,443837,NOT_FOUND,n_leq_7000000000
37253,443873,NOT_FOUND,n_leq_7000000000
37949,453181,NOT_FOUND,n_leq_7000000000
43297,523007,NOT_FOUND,n_leq_7000000000
48834,596419,NOT_FOUND,n_leq_7000000000
51816,636277,NOT_FOUND,n_leq_7000000000
53963,665179,NOT_FOUND,n_leq_7000000000
55468,685453,NOT_FOUND,n_leq_7000000000
55874,690953,NOT_FOUND,n_leq_7000000000
66257,831301,NOT_FOUND,n_leq_7000000000
67203,844253,NOT_FOUND,n_leq_7000000000
67447,847621,NOT_FOUND,n_leq_7000000000
69546,876191,NOT_FOUND,n_leq_7000000000
76761,975497,6814926932,RESOLVED
76868,977087,NOT_FOUND,n_leq_7000000000
82096,1049519,NOT_FOUND,n_leq_7000000000
82300,1052459,NOT_FOUND,n_leq_7000000000
86557,1111393,6670175973,RESOLVED
97251,1260901,NOT_FOUND,n_leq_7000000000
98258,1275011,NOT_FOUND,n_leq_7000000000
98379,1276747,NOT_FOUND,n_leq_7000000000
